Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 26
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 26
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 26
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 26
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 26
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,PointerTest,testBooleanPointer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 26
javacpp,org.bytedeco.javacpp,PointerTest,testBooleanPointer,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,PointerTest,testPointerPointer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 25
javacpp,org.bytedeco.javacpp,PointerTest,testPointerPointer,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,PointerTest,testDeallocator,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javacpp,org.bytedeco.javacpp,PointerTest,testDeallocator,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javacpp,org.bytedeco.javacpp,PointerTest,testDeallocator,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,PointerTest,testPointerScope,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 20
javacpp,org.bytedeco.javacpp,PointerTest,testParseBytesWithRelativeUnits,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javacpp,org.bytedeco.javacpp,BufferTest,testByteBuffer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
javacpp,org.bytedeco.javacpp,BufferTest,testShortBuffer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
javacpp,org.bytedeco.javacpp,BufferTest,testIntBuffer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
javacpp,org.bytedeco.javacpp,BufferTest,testLongBuffer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
javacpp,org.bytedeco.javacpp,BufferTest,testFloatBuffer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
javacpp,org.bytedeco.javacpp,BufferTest,testDoubleBuffer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
javacpp,org.bytedeco.javacpp,IndexerTest,testDefaultStrides,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javacpp,org.bytedeco.javacpp,IndexerTest,testIndexer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
javacpp,org.bytedeco.javacpp,IndexerTest,testByteIndexer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 41
javacpp,org.bytedeco.javacpp,IndexerTest,testByteIndexer,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,IndexerTest,testShortIndexer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
javacpp,org.bytedeco.javacpp,IndexerTest,testShortIndexer,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,IndexerTest,testIntIndexer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
javacpp,org.bytedeco.javacpp,IndexerTest,testIntIndexer,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,IndexerTest,testLongIndexer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
javacpp,org.bytedeco.javacpp,IndexerTest,testLongIndexer,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,IndexerTest,testFloatIndexer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
javacpp,org.bytedeco.javacpp,IndexerTest,testFloatIndexer,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,IndexerTest,testDoubleIndexer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
javacpp,org.bytedeco.javacpp,IndexerTest,testDoubleIndexer,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,IndexerTest,testCharIndexer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
javacpp,org.bytedeco.javacpp,IndexerTest,testCharIndexer,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,IndexerTest,testBooleanIndexer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 19
javacpp,org.bytedeco.javacpp,IndexerTest,testBooleanIndexer,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,IndexerTest,testUByteIndexer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
javacpp,org.bytedeco.javacpp,IndexerTest,testUByteIndexer,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,IndexerTest,testUShortIndexer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
javacpp,org.bytedeco.javacpp,IndexerTest,testUShortIndexer,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,IndexerTest,testUIntIndexer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
javacpp,org.bytedeco.javacpp,IndexerTest,testUIntIndexer,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,IndexerTest,testULongIndexer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
javacpp,org.bytedeco.javacpp,IndexerTest,testULongIndexer,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,IndexerTest,testHalfIndexer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 18
javacpp,org.bytedeco.javacpp,IndexerTest,testHalfIndexer,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,IndexerTest,testBfloat16Indexer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 18
javacpp,org.bytedeco.javacpp,IndexerTest,testBfloat16Indexer,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
javacpp,org.bytedeco.javacpp,IndexerTest,testBfloat16IndexerPutGet,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javacpp,org.bytedeco.javacpp,IndexerTest,testBooleanIndexerPutGet,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javacpp,org.bytedeco.javacpp,IndexerTest,testByteIndexerPutGet,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javacpp,org.bytedeco.javacpp,IndexerTest,testCharIndexerPutGet,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javacpp,org.bytedeco.javacpp,IndexerTest,testDoubleIndexerPutGet,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javacpp,org.bytedeco.javacpp,IndexerTest,testFloatIndexerPutGet,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javacpp,org.bytedeco.javacpp,IndexerTest,testHalfIndexerPutGet,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javacpp,org.bytedeco.javacpp,IndexerTest,testIntIndexerPutGet,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javacpp,org.bytedeco.javacpp,IndexerTest,testLongIndexerPutGet,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javacpp,org.bytedeco.javacpp,IndexerTest,testShortIndexerPutGet,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javacpp,org.bytedeco.javacpp,IndexerTest,testUByteIndexerPutGet,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javacpp,org.bytedeco.javacpp,IndexerTest,testUIntIndexerPutGet,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javacpp,org.bytedeco.javacpp,IndexerTest,testULongIndexerPutGet,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javacpp,org.bytedeco.javacpp,IndexerTest,testUShortIndexerPutGet,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javacpp,org.bytedeco.javacpp,BuilderTest,testExtensions,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
javacpp,org.bytedeco.javacpp,ThreadTest,testJNIThreadAttachFromNativeCallbacks,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexI,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexIJ,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 36
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexIJK,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexIndices1D,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexIndices2D,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 36
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexIndices3D,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
javacpp,org.bytedeco.javacpp.test.osgi,JavaCPPOsgiTest,testJavaCPP,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
