Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
javacpp,org.bytedeco.javacpp,AdapterTest,testStdMove,Magic Number,The method contains a magic number: 42,376
javacpp,org.bytedeco.javacpp,AdapterTest,testOptional,Magic Number,The method contains a magic number: 42,400
javacpp,org.bytedeco.javacpp,AdapterTest,testOptional,Magic Number,The method contains a magic number: 42,400
javacpp,org.bytedeco.javacpp,EnumTest,testEnum,Empty catch clause,The method has an empty catch block.,102
javacpp,org.bytedeco.javacpp,EnumTest,testEnum,Magic Number,The method contains a magic number: 123,102
javacpp,org.bytedeco.javacpp,EnumTest,testEnum,Magic Number,The method contains a magic number: 789,102
javacpp,org.bytedeco.javacpp,EnumTest,testEnum,Magic Number,The method contains a magic number: 101112,102
javacpp,org.bytedeco.javacpp,PointerTest,testFunctionPointer,Magic Number,The method contains a magic number: 5,96
javacpp,org.bytedeco.javacpp,PointerTest,testPointer,Magic Number,The method contains a magic number: 3,137
javacpp,org.bytedeco.javacpp,PointerTest,testPointer,Magic Number,The method contains a magic number: 0xDEADBEEF,137
javacpp,org.bytedeco.javacpp,PointerTest,testPointer,Magic Number,The method contains a magic number: 10,137
javacpp,org.bytedeco.javacpp,PointerTest,testPointer,Magic Number,The method contains a magic number: 10,137
javacpp,org.bytedeco.javacpp,PointerTest,testPointer,Magic Number,The method contains a magic number: 1000,137
javacpp,org.bytedeco.javacpp,PointerTest,testPointer,Magic Number,The method contains a magic number: 1000,137
javacpp,org.bytedeco.javacpp,PointerTest,testPointer,Magic Number,The method contains a magic number: 1000,137
javacpp,org.bytedeco.javacpp,PointerTest,testPointer,Magic Number,The method contains a magic number: 1000,137
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Complex Method,Cyclomatic complexity of the method is 10,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Long Method,The method has 105 lines of code.,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 8,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 8192,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 10,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 10,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 10,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 10,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 20,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 20,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 20,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 20,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 0x0102,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 0x01020304,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 0x0102030405060708L,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 4,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 5,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 7,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 5,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 5,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 7,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 42,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 10,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 30,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 0xFF,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 20,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 20,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 30,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 10,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 20,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 0xFF,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 30,169
javacpp,org.bytedeco.javacpp,PointerTest,testBytePointer,Magic Number,The method contains a magic number: 8,169
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Complex Method,Cyclomatic complexity of the method is 9,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 8,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 8192,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 10,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 20,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 10,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 10,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 20,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 20,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 2,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 20,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 2,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 20,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 5,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 7,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 5,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 5,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 7,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 42,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 10,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 30,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 0xFF,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 20,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 20,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 30,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 10,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 20,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 0xFFFF,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 30,283
javacpp,org.bytedeco.javacpp,PointerTest,testShortPointer,Magic Number,The method contains a magic number: 8,283
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Complex Method,Cyclomatic complexity of the method is 9,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 8,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 8192,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 10,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 40,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 10,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 10,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 20,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 20,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 4,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 20,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 4,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 20,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 5,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 7,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 5,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 5,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 7,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 42,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 10,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 30,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 0xFF,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 20,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 20,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 30,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 10,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 20,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 0xFFFFFFFF,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 30,375
javacpp,org.bytedeco.javacpp,PointerTest,testIntPointer,Magic Number,The method contains a magic number: 8,375
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Complex Method,Cyclomatic complexity of the method is 9,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 8,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 8192,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 10,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 80,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 10,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 10,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 20,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 20,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 8,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 20,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 8,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 20,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 5,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 7,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 5,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 5,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 7,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 42,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 10,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 30,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 0xFF,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 20,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 20,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 30,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 10,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 20,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 30,467
javacpp,org.bytedeco.javacpp,PointerTest,testLongPointer,Magic Number,The method contains a magic number: 8,467
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Complex Method,Cyclomatic complexity of the method is 9,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 8,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 8192,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 10,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 40,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 10,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 10,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 20,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 20,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 4,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 20,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 4,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 20,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 5,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 7,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 5,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 5,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 7,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 42,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 10,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 30,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 0xFF,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 20,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 20,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 30,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 10,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 20,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 0xFFFFFFFF,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 30,559
javacpp,org.bytedeco.javacpp,PointerTest,testFloatPointer,Magic Number,The method contains a magic number: 8,559
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Complex Method,Cyclomatic complexity of the method is 9,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 8,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 8192,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 10,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 80,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 10,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 10,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 20,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 20,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 8,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 20,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 8,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 20,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 5,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 7,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 5,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 5,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 7,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 42,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 10,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 30,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 0xFF,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 20,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 20,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 30,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 10,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 20,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 30,651
javacpp,org.bytedeco.javacpp,PointerTest,testDoublePointer,Magic Number,The method contains a magic number: 8,651
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Complex Method,Cyclomatic complexity of the method is 9,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 8,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 8192,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 10,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 20,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 10,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 10,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 20,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 20,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 2,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 20,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 2,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 20,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 5,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 7,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 5,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 5,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 7,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 42,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 10,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 30,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 0xFF,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 20,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 20,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 30,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 10,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 20,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 0xFFFF,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 30,743
javacpp,org.bytedeco.javacpp,PointerTest,testCharPointer,Magic Number,The method contains a magic number: 8,743
javacpp,org.bytedeco.javacpp,PointerTest,testBooleanPointer,Complex Method,Cyclomatic complexity of the method is 9,835
javacpp,org.bytedeco.javacpp,PointerTest,testBooleanPointer,Magic Number,The method contains a magic number: 8192,835
javacpp,org.bytedeco.javacpp,PointerTest,testBooleanPointer,Magic Number,The method contains a magic number: 10,835
